action,keywords,parent,description,title,application_type
template_ligand_finder_gui.panel,,,,Template Ligand Finder...,Receptor-Based Virtual Screening
tg_loader_gui.panel,,,Load data from a Thermophysical Properties run so that it can be analyzed.<br/>Opens the Load Tg Data panel.,,
thermal_conductivity_gui.panel,,,Calculate thermal conductivity using reverse nonequilibrium MD simulations.<br/>Opens the Thermal Conductivity Calculation Panel.,,
thermal_conductivity_viewer_gui.panel,,,"Plot the results of a thermal conductivity calculation, perform fitting to obtain a temperature gradient value and calculate the thermal conductivity.<br/>Opens the Thermal Conductivity Viewer Panel.",,
thermochemistry_viewer_gui.panel,,,Display plots of energy or thermodynamic properties as a function of temperature or pressure.<br/>Opens the Thermochemistry Viewer Panel.,,
thermophysical_properties_gui.panel,,,"Calculate the density of a model system as a function of temperature using MD simulations, to generate data for evaluation of the coefficient of thermal expansion and the glass transition temperature (T<sub>g</sub>). <br/>Opens the Thermophysical Properties panel.",,
thermophysical_properties_viewer_gui.panel,,,"Analyze the density of a solid as a function of temperature to determine the coefficient of thermal expansion and the glass transition temperature. The densities are obtained from MD simulations at a set of temperatures in the NPT ensemble, and the uncertainties in the results due to the simulations can also be estimated.<br/>Opens the Thermophysical Properties Analysis panel.",,
toggle_eta_style,,toggle_eta_style.run,,,
toggle_eta_style.run,,,Switch the bonding style for eta-bonded organometallic complexes between a set of zero-order bonds to each eta-bonded atom and a one bond to the centroid of these atoms.,,
toggle_table.panel,,,"Open the Toggle Table panel, which provides PyMOL-like interaction with the Workspace.",,
tool_geom_cleanup,,,"Clean up the geometry of the Workspace structure by minimizing its energy. By default the OPLS_2005 force field is used. If this does not include the atoms you need to minimize, you can set a preference to use the UFF force field, which covers a wider range of atoms but is slower.",,
toolbar_reset_all_tiles,,,Reset the view in each tile to the initial view.,,
toolbar_tile_by_entry,,,"Tile the Workspace so that each entry occupies a separate tile, except for fixed entries, which are displayed in every tile.",,
toolbar_tile_by_group,,,Tile the Workspace so that all entries that are in the same entry group are displayed in the same tile.,,
toolbar_tile_by_surface,,,"Tile the Workspace so that each surface that is displayed in the Workspace is placed in a separate tile, along with the corresponding structure. Surfaces for fixed entries are displayed in every tile, and entries that are displayed in the Workspace that do not have surfaces are displayed in their own tiles, at the end of the grid.",,
toolbar_tile_pick_to_move,,,"Move tiles to a different location in the grid. Click on the tile you want to move, then click on the desired new location.",,
toolbar_tile_transform_all,,,"Transform all tiles simultaneously when rotating or translating. If this option is cleared, only the selected tile is transformed. Rotations and translations must start with the pointer in the tile.",,
toolbar_wsassistant_material_aluminum,,,"Set the appearance of Workspace objects to the Aluminum style, which is a combination of lighting effects.",,
toolbar_wsassistant_material_default,,,"Set the appearance of Workspace objects to the default style, which is a combination of lighting effects.",,
toolbar_wsassistant_material_dramatic,,,"Set the appearance of Workspace objects to the Dramatic style, which is a combination of lighting effects.",,
toolbar_wsassistant_material_gloss,,,"Set the appearance of Workspace objects to the Gloss style, which is a combination of lighting effects.",,
toolbar_wsassistant_material_sundown,,,"Set the appearance of Workspace objects to the Sundown style, which is a combination of lighting effects.",,
toolbar_wsassistant_rendering_balance,,,"Render Workspace objects with medium quality, to balance appearance with the performance when rotating or translating.",,
toolbar_wsassistant_rendering_performance,,,"Render Workspace objects with lower quality, to optimize the performance when rotating or translating. This includes using a simplified representation for atoms, bonds, and ribbons where necessary.",,
toolbar_wsassistant_rendering_quality,,,Render Workspace objects with higher quality. The cost of rendering might affect performance when rotating or translating.,,
tools_protein_sculpt,,,"Reposition atoms by dragging, with adustment of nearby atoms in a short force-field minimization.",,
torsion_profile_analysis_gui.panel,,,"Analyze profiles of torsional angles specified by  SMARTS patterns, for graphical display.<br/>Opens the Torsion Profile Analysis Panel.",,
torsion_profile_analysis_viewer_gui.panel,,,Display profiles of torsional angles as radial and histogram plots.<br/>Opens the Torsion Profile Analysis Viewer Panel.,,
trajectory_cluster.panel,,,Perform hierarchical clustering on structures from a Desmond trajectory based on the RMSD matrix of a specified set of atoms.<br/>Opens the RMSD Based Clustering of Frames from Desmond Trajectory panel.,,
trajectory_cluster_gui.panel,,,Perform hierarchical clustering on structures from a Desmond trajectory based on the RMSD matrix of a specified set of atoms.<br/>Opens the RMSD Based Clustering of Frames from Desmond Trajectory panel.,,
trajectory_density_analysis_gui.panel,,,Generate density profiles and cross-sections from the frames of a trajectory that can be averaged over a range of the trajectory.<br/>Opens the Trajectory Density Analysis Panel.,,
trajectory_density_analysis_viewer_gui.panel,,,"View 1D and 2D profiles of the averaged density from a trajectory, generated using the Trajectory Density Analysis Panel.<br/>Opens the Trajectory Density Analysis Viewer Panel.",,
trajectory_esp_analysis_gui.panel,,,Calculate the charge density and the electrostatic potential of a planar interface or micelle from the frames of a trajectory.<br/>Opens the Trajectory Electrostatic Potential Analysis Panel.,,
trajectory_esp_analysis_viewer_gui.panel,,,Plot the charge density and electrostatic potential from a trajectory analysis.<br/>Opens the Trajectory Electrostatic Potential Analysis Viewer Panel.,,
tst_rate_calculation,"QM, quantum mechanics",,,TST Rate Calculation...,Quantum Mechanics
tst_rate_gui.panel,,,"<!-- transition state  -->
Calculate the temperature-dependent rate constant of a reaction using transition state theory from the output of previous quantum mechanical calculations on the reactants and the transition state.<br/>Opens the TST Rate Calculation panel.",,
tst_rate_viewer_gui.panel,,,"<!-- transition state  -->
Plot the results of a TST Rate calculation.<br/>Opens the TST Rate Viewer Panel.",TST Rate Viewer...,Quantum Mechanics
two_d_viewer_gui.panel,,,"Display 2D structures for Project Table entries in a rectangular grid, and use them to select and include structures. Opens the 2D Viewer panel.",,
umbrella_sampling_gui.panel,,,Perform MD sampling of a structure in a set of windows along a path perpendicular to a substrate.<br/>Opens the Umbrella Sampling Calculation (Beta) Panel.,,
umbrella_sampling_viewer_gui.panel,,,View the free energy curve as a function of the collective variable from an umbrella sampling calculation.<br/>Opens the Umbrella Sampling Viewer Panel.,,
uncertainty_quantification_gui.panel,,,Calculate within-simulation uncertainty for multiple thermophysical property simulations.<br/>Opens the Uncertainty Quantification panel,,
uncertainty_quantification_viewer_gui.panel,,,Plot within-simulation and between-simulation uncertainties from an uncertainty quantification calculation.<br/>Opens the Uncertainty Quantification Viewer panel,,
updatecoords,,,Change the coordinates of the entries in the Workspace to the coordinates of the current view.,,
virtual_screening,"dock, docking, virtual screen, screening, XP, SP, HTVS, grid generation, glide grid, Glide, GOLD, database screening, ensemble, ensemble docking, find hits, high throughput screen, ligand screening, rigid receptor docking, VSW",,,Virtual Screening Workflow...,Receptor-Based Virtual Screening
viscosity_gk_gui.panel,,,Calculate the shear viscosity from multiple equilibrium MD simulations with averaging and curve fitting to obtain the viscosity value.<br/>Opens the Shear Viscosity panel,,
viscosity_viewer_gui.panel,,,Plot the results of a shear viscosity calculation and perform fitting to obtain a shear viscosity value.<br/>Opens the Shear Viscosity Viewer panel,,
visualize_hbonds,"protein analysis, H-bonds, hydrogen bonds, show H-bonds",,,Visualize H-Bonds...,Structure Analysis
visualize_hbonds.panel,,,"Display hydrogen bonds to the selected atoms, and label them with distances and donor-acceptor angle.<br/>Opens the Visualize H-bonds panel.",,
visualize_restraints,restraints,,,,
visualize_restraints_gui.panel,,,"Visualize restraints set on atom positions, bonds, angles, and dihedrals.<br/>Opens the Visualize Restraints Panel.",,
visualize_transition_moment_gui.panel,,,Display transition moments from TDDFT calculations in the Workspace for a selected project entry.<br/>Opens the Visualize Transition Moment panel.,,
